burst_n,repeat,seq,status,window_id,submit_ts,commit_ts,credit_ts,ack_ts,commit_latency_s,forward_latency_s,roundtrip_latency_s
40,0,15,acked,0,1787693722.3170009,1787693849.816804,1787694054.5954454,1787694617.0151155,127.49980306625366,332.2784445285797,894.6981146335602
40,0,16,acked,0,1787693727.0061605,1787693849.9234629,1787694067.2335732,1787694622.0951414,122.91730237007141,340.2274127006531,895.0889809131622
40,0,17,acked,0,1787693731.692707,1787693850.044706,1787694079.8589826,1787694627.1705725,118.35199904441833,348.1662755012512,895.4778654575348
40,0,18,acked,0,1787693736.3602524,1787693850.155138,1787694092.5260394,1787694632.2692857,113.79488563537598,356.16578698158264,895.9090332984924
40,0,19,acked,0,1787693743.1563282,1787693850.2549114,1787694105.170899,1787694637.3670707,107.09858322143555,362.0145707130432,894.2107424736023
40,0,20,acked,0,1787693747.830464,1787693850.3678837,1787694117.8294666,1787694642.4378939,102.53741979598999,369.9990026950836,894.6074299812317
40,0,21,acked,0,1787693752.5366328,1787693850.474372,1787694126.4770052,1787694647.4853456,97.93773913383484,373.940372467041,894.9487128257751
40,0,22,acked,0,1787693757.2264297,1787693850.5864804,1787694139.1025748,1787694652.5715108,93.36005067825317,381.8761451244354,895.3450810909271
40,0,23,acked,0,1787693761.9280322,1787693850.6986446,1787694151.7449687,1787694657.6499283,88.77061247825623,389.8169364929199,895.7218961715698
40,0,24,acked,0,1787693766.6524343,1787693850.8051343,1787694164.3746626,1787694662.7551007,84.15269994735718,397.7222282886505,896.1026663780212
40,0,25,acked,0,1787693773.45545,1787693850.9113922,1787694177.0233397,1787694667.844248,77.45594215393066,403.56788969039917,894.3887979984283
40,0,26,acked,0,1787693778.154366,1787693851.0198584,1787694189.6718454,1787694672.9327793,72.86549234390259,411.51747941970825,894.7784132957458
40,0,27,acked,0,1787693782.8521976,1787693851.1283188,1787694206.3348699,1787694799.3018715,68.27612113952637,423.48267221450806,1016.4496738910675
40,0,28,acked,0,1787693787.547513,1787693851.2387736,1787694219.0213056,1787694804.3877954,63.69126057624817,431.473792552948,1016.8402824401855
40,0,29,acked,0,1787693792.2347207,1787693851.3481479,1787694231.6663227,1787694809.4519386,59.11342716217041,439.4316020011902,1017.2172179222107
40,0,30,acked,0,1787693796.9122584,1787693851.4543388,1787694240.2698746,1787694814.5318215,54.54208040237427,443.35761618614197,1017.6195631027222
40,0,31,acked,0,1787693803.7217495,1787693851.5654392,1787694252.9030256,1787694819.5962884,47.84368968009949,449.18127608299255,1015.874538898468
40,0,32,acked,0,1787693808.4220335,1787693851.6747274,1787694265.530402,1787694824.6630607,43.25269389152527,457.10836839675903,1016.2410271167755
40,0,33,acked,0,1787693813.1074355,1787693851.7845645,1787694282.1694221,1787694829.7433941,38.67712903022766,469.0619866847992,1016.6359586715698
40,0,34,acked,0,1787693817.7918048,1787693851.8925252,1787694294.8302443,1787694834.8343952,34.10072040557861,477.0384395122528,1017.042590379715
40,0,35,acked,0,1787693822.4908247,1787693851.9997163,1787694307.473065,1787694839.918494,29.508891582489014,484.9822402000427,1017.4276692867279
40,0,36,acked,0,1787693827.1823888,1787693852.112406,1787694320.109086,1787694842.893963,24.930017232894897,492.9266972541809,1015.7115743160248
40,0,37,acked,0,1787693831.8747563,1787693852.2235541,1787694332.7508495,1787694847.9670682,20.34879779815674,500.8760931491852,1016.0923118591309
40,0,38,acked,0,1787693838.7004833,1787693852.3332036,1787694345.420514,1787694853.0652304,13.632720232009888,506.72003078460693,1014.3647470474243
40,0,39,acked,0,1787693843.3860803,1787693852.4428093,1787694358.0577416,1787694858.1463883,9.056729078292847,514.6716613769531,1014.7603080272675
